R1,R2,Rhythm,CTest1,CTest2,CScore,VJump1,VJump2,VJumpScore,30m,30mScore,PH1,PH2,PH3,PH4,PH5,PHTotal,PHA,PHB,PHV,PHF,Reac1,Reac2,Reac3,Reac4,RTotal,RA,RB,RV,RF,S1,S2,S3,S4,STotal,SA,SB,SV,SF,PS1,PS2,PS3,PS4,PSTotal,PSA,PSB,PSV,PSF,Branch
6.5,6,12.5,50.892,-1,41,33.368927,29.92402,4,4.925,5,4,3,4,3,4,72,29.52,28.8,27.36,25.2,1,4,1,5,55,16.5,15.4,17.6,16.5,3,4,1,1,45,4.95,9.45,6.3,9.45,3,1,4,3,55,9.9,6.05,8.8,7.7,C5
6.5,5.5,12,60.078,-1,41,-2,27.776026,5.5,5.23,6.5,4,5,4,1,5,76,31.16,30.4,28.88,26.6,3,3,1,4,55,16.5,15.4,17.6,16.5,3,4,5,3,75,8.25,15.75,10.5,15.75,1,3,5,4,65,11.7,7.15,10.4,9.1,C4
8,6.5,14.5,59.688,-1,40.97807318,32.009026,16.241774,4.769653678,4.658,14.61683035,4,3,5,2,2,64,26.24,25.6,24.32,22.4,1,5,2,2,50,15,14,16,15,4,4,3,1,60,6.6,12.6,8.4,12.6,3,1,2,5,55,9.9,6.05,8.8,7.7,C5
7,7,14,59.861,-1,40.8397463,21.623661,24.602924,1.368276775,5.554,4.519159198,5,5,3,2,3,72,29.52,28.8,27.36,25.2,3,2,5,3,65,19.5,18.2,20.8,19.5,1,5,2,2,50,5.5,10.5,7,10.5,2,2,4,3,55,9.9,6.05,8.8,7.7,C3
6,5,11,27.618,29.56,40.71160644,42.38238,41.379276,4.232843816,4.736,0,1,2,1,4,2,40,16.4,16,15.2,14,2,4,4,4,70,21,19.6,22.4,21,2,2,2,4,50,5.5,10.5,7,10.5,3,1,5,1,50,9,5.5,8,7,C3
8,6,14,47.931,-1,40.61158955,-2,30.279137,1.902395934,4.388,12.38789409,3,1,5,3,4,64,26.24,25.6,24.32,22.4,5,3,5,5,90,27,25.2,28.8,27,1,2,1,1,25,2.75,5.25,3.5,5.25,3,1,4,3,55,9.9,6.05,8.8,7.7,C3
8,7,15,60.329,-1,40.46554059,30.279137,33.786972,5.586205125,4.948,11.34861141,5,2,5,1,4,68,27.88,27.2,25.84,23.8,2,5,1,1,45,13.5,12.6,14.4,13.5,5,5,5,2,85,9.35,17.85,11.9,17.85,5,5,2,4,80,14.4,8.8,12.8,11.2,C4
8,7,15,60.407,-1,40.4031685,20.20611,35.61297,6.424825191,5.063,10.05259037,3,5,4,1,1,56,22.96,22.4,21.28,19.6,4,4,4,2,70,21,19.6,22.4,21,1,4,4,5,70,7.7,14.7,9.8,14.7,1,1,5,2,45,8.1,4.95,7.2,6.3,C2
8,5,13,27.777,25.969,40.33928633,42.235466,44.45739,4.776934087,3.948,11.80481404,3,5,3,3,3,68,27.88,27.2,25.84,23.8,2,1,1,5,45,13.5,12.6,14.4,13.5,4,2,3,3,60,6.6,12.6,8.4,12.6,2,3,2,2,45,8.1,4.95,7.2,6.3,C4
8,6,14,60.501,-1,40.32801032,-2,27.774395,2.824828029,4.723,13.88429761,4,1,4,3,3,60,24.6,24,22.8,21,3,3,5,3,70,21,19.6,22.4,21,4,1,2,2,45,4.95,9.45,6.3,9.45,4,1,2,2,45,8.1,4.95,7.2,6.3,C3
6,6.5,12.5,60.566,-1,40.27603447,34.693966,30.279137,6.002757549,4.991,10.86401045,2,2,4,3,5,64,26.24,25.6,24.32,22.4,1,3,2,1,35,10.5,9.8,11.2,10.5,4,4,1,5,70,7.7,14.7,9.8,14.7,5,5,4,3,85,15.3,9.35,13.6,11.9,C4
8,7,15,28.038,29.12,40.26906073,34.58593,38.361244,4.214807749,4.301,12.39833862,1,5,3,4,2,60,24.6,24,22.8,21,4,5,5,5,95,28.5,26.6,30.4,28.5,1,2,5,5,65,7.15,13.65,9.1,13.65,4,4,1,1,50,9,5.5,8,7,C2
6,5,11,27.28,25.983,40.26670575,47.192265,46.981216,5.630204082,4.012,10.94919741,3,3,5,3,5,76,31.16,30.4,28.88,26.6,4,4,5,2,75,22.5,21,24,22.5,2,4,1,2,45,4.95,9.45,6.3,9.45,4,3,1,5,65,11.7,7.15,10.4,9.1,C3
4,4,8,27.732,29.567,40.17672837,37.48702,39.409122,3.019606471,4.141,11.20576948,2,3,2,3,4,56,22.96,22.4,21.28,19.6,3,1,3,5,60,18,16.8,19.2,18,1,5,4,4,70,7.7,14.7,9.8,14.7,3,4,3,4,70,12.6,7.7,11.2,9.8,C1
8,7,15,48.463,-1,40.14117837,39.409122,37.48702,4.59982127,4.662,9.316143394,1,4,3,2,3,52,21.32,20.8,19.76,18.2,4,1,1,1,35,10.5,9.8,11.2,10.5,2,4,2,1,45,4.95,9.45,6.3,9.45,5,4,5,5,95,17.1,10.45,15.2,13.3,C4
4,4,8,27.22,26.013,40.1111725,35.30798,33.683956,1.922353953,4.248,7.794115841,2,5,5,2,1,60,24.6,24,22.8,21,3,1,4,3,55,16.5,15.4,17.6,16.5,3,5,4,2,70,7.7,14.7,9.8,14.7,4,5,4,4,85,15.3,9.35,13.6,11.9,C4
5.5,6,11.5,48.56,-1,40.05540937,43.397495,42.38238,5.778173208,4.484,11.31165862,1,2,2,1,3,36,14.76,14.4,13.68,12.6,5,4,3,3,75,22.5,21,24,22.5,4,5,4,2,75,8.25,15.75,10.5,15.75,2,4,1,2,45,8.1,4.95,7.2,6.3,C5
7,8,15,27.812,27.762,40.03597677,35.61297,39.409122,3.019606471,4.332,7.450855672,5,4,3,1,5,72,29.52,28.8,27.36,25.2,4,4,3,4,75,22.5,21,24,22.5,5,5,2,4,80,8.8,16.8,11.2,16.8,5,5,2,1,65,11.7,7.15,10.4,9.1,C1
8,7,15,28.115,28.162,40.02242357,36.75606,56.311607,10,4.365,11.60166264,4,4,1,2,4,60,24.6,24,22.8,21,4,2,3,4,65,19.5,18.2,20.8,19.5,4,5,1,1,55,6.05,11.55,7.7,11.55,5,4,3,2,70,12.6,7.7,11.2,9.8,C3
8,6,14,51.306,-1,40,35.831482,34.06375,4.5,4.937,5,3,1,4,5,1,56,22.96,22.4,21.28,19.6,1,1,2,5,45,13.5,12.6,14.4,13.5,3,3,2,3,55,6.05,11.55,7.7,11.55,4,2,1,4,55,9.9,6.05,8.8,7.7,C5
8,7,15,61.076,-1,40,31.218811,31.94692,6.5,4.84,11.5,4,4,1,3,2,56,22.96,22.4,21.28,19.6,3,2,4,4,65,19.5,18.2,20.8,19.5,4,2,5,5,80,8.8,16.8,11.2,16.8,1,1,2,2,30,5.4,3.3,4.8,4.2,C2
7.5,6.5,14,61.992,-1,40,28.186811,26.054766,6,5.584,2.5,4,1,5,2,4,64,26.24,25.6,24.32,22.4,3,1,4,1,45,13.5,12.6,14.4,13.5,3,1,2,4,50,5.5,10.5,7,10.5,1,5,2,1,45,8.1,4.95,7.2,6.3,C4
8,7,15,61.108,-1,40,27.159218,22.549278,5.5,5.821,1,4,1,4,4,3,64,26.24,25.6,24.32,22.4,2,4,5,4,75,22.5,21,24,22.5,3,5,2,1,55,6.05,11.55,7.7,11.55,5,5,5,4,95,17.1,10.45,15.2,13.3,C3
6.5,6,12.5,61.985,-1,40,35.139626,30.484184,7.5,5.068,9,4,2,3,5,4,72,29.52,28.8,27.36,25.2,4,3,1,3,55,16.5,15.4,17.6,16.5,2,3,1,1,35,3.85,7.35,4.9,7.35,3,5,3,1,60,10.8,6.6,9.6,8.4,C5
6,6,12,29.544,28.129,39.9775824,34.139015,35.509445,3.295706213,4.525,9.609957039,3,4,5,5,1,72,29.52,28.8,27.36,25.2,4,1,1,1,35,10.5,9.8,11.2,10.5,2,5,5,4,80,8.8,16.8,11.2,16.8,5,2,1,1,45,8.1,4.95,7.2,6.3,C4
8,7,15,48.67,-1,39.95814711,37.48702,37.48702,4.031941891,4.918,6.4461869,1,3,5,4,3,64,26.24,25.6,24.32,22.4,3,4,2,4,65,19.5,18.2,20.8,19.5,3,2,1,1,35,3.85,7.35,4.9,7.35,1,3,5,2,55,9.9,6.05,8.8,7.7,C3
8,6.5,14.5,48.706,-1,39.92631197,37.48702,37.48702,4.031941891,4.8,7.769057751,5,1,3,3,4,64,26.24,25.6,24.32,22.4,4,2,3,3,60,18,16.8,19.2,18,5,3,3,4,75,8.25,15.75,10.5,15.75,1,5,4,3,65,11.7,7.15,10.4,9.1,C1
3,3,6,25.997,27.158,39.89135206,47.578068,46.5149,8.087356687,4.043,12.27658957,2,5,5,3,4,76,31.16,30.4,28.88,26.6,3,3,4,3,65,19.5,18.2,20.8,19.5,3,3,2,3,55,6.05,11.55,7.7,11.55,5,4,3,3,75,13.5,8.25,12,10.5,C3
6.5,5.5,12,61.101,-1,39.84825432,27.774395,32.009026,4.769653678,5.252,7.922616005,2,2,5,5,1,60,24.6,24,22.8,21,1,2,1,1,25,7.5,7,8,7.5,3,1,3,1,40,4.4,8.4,5.6,8.4,2,2,2,4,50,9,5.5,8,7,C4
7,4,11,34.025,26.072,39.80529606,41.347813,37.25974,3.806758225,3.914,12.25935906,2,5,3,2,4,64,26.24,25.6,24.32,22.4,3,1,4,1,45,13.5,12.6,14.4,13.5,3,2,5,5,75,8.25,15.75,10.5,15.75,5,1,4,4,70,12.6,7.7,11.2,9.8,C4
8,7,15,28.194,29.461,39.76938128,35.94822,37.16396,3.828936815,4.394,11.24066323,5,3,3,3,2,64,26.24,25.6,24.32,22.4,2,2,2,4,50,15,14,16,15,4,1,5,5,75,8.25,15.75,10.5,15.75,5,1,3,2,55,9.9,6.05,8.8,7.7,C4
4,4,8,48.913,-1,39.74328071,32.01,37.49,4.032823145,4.546,10.61659366,2,1,3,4,1,44,18.04,17.6,16.72,15.4,1,1,3,3,40,12,11.2,12.8,12,3,5,5,5,90,9.9,18.9,12.6,18.9,2,3,4,2,55,9.9,6.05,8.8,7.7,C4
7,7,14,26.899,26.096,39.68087107,46.987133,51.844288,7.081617117,3.98,11.37700617,2,1,5,4,5,68,27.88,27.2,25.84,23.8,4,4,4,4,80,24,22.4,25.6,24,5,5,4,2,80,8.8,16.8,11.2,16.8,2,4,1,2,45,8.1,4.95,7.2,6.3,C2
7,6,13,27.845,28.82,39.64654684,37.48702,41.379276,3.823527098,3.948,15,1,2,4,3,4,56,22.96,22.4,21.28,19.6,1,3,1,3,40,12,11.2,12.8,12,1,4,3,2,50,5.5,10.5,7,10.5,1,4,2,1,40,7.2,4.4,6.4,5.6,C4
8,4,12,29.582,28.241,39.61883962,37.70113,38.262566,4.183004797,4.302,12.38589138,3,3,2,4,1,52,21.32,20.8,19.76,18.2,4,5,2,4,75,22.5,21,24,22.5,2,3,2,4,55,6.05,11.55,7.7,11.55,5,1,1,2,45,8.1,4.95,7.2,6.3,C3
8,7,15,28.241,28.532,39.61883962,40.705452,37.17058,4.970318377,4.251,13.0207479,2,3,3,3,5,64,26.24,25.6,24.32,22.4,1,5,1,5,60,18,16.8,19.2,18,3,4,5,3,75,8.25,15.75,10.5,15.75,1,4,4,1,50,9,5.5,8,7,C2
7.5,6.5,14,49.055,-1,39.61771846,35.61297,12.16331,3.478259742,4.531,10.78475386,2,3,4,4,5,72,29.52,28.8,27.36,25.2,3,5,2,1,55,16.5,15.4,17.6,16.5,2,3,5,3,65,7.15,13.65,9.1,13.65,1,5,3,2,55,9.9,6.05,8.8,7.7,C4
7,7,14,49.154,-1,39.53018188,34.693966,23.84009,3.2067433,4.868,7.006727457,3,5,4,1,5,72,29.52,28.8,27.36,25.2,3,3,5,3,70,21,19.6,22.4,21,4,5,1,2,60,6.6,12.6,8.4,12.6,1,4,2,5,60,10.8,6.6,9.6,8.4,C2
6.5,7,13.5,61.608,-1,39.44286525,30.279137,29.432209,3.975172937,4.694,14.21112299,3,4,1,5,1,56,22.96,22.4,21.28,19.6,5,5,1,4,75,22.5,21,24,22.5,1,5,2,4,60,6.6,12.6,8.4,12.6,3,3,4,1,55,9.9,6.05,8.8,7.7,C2
8,7,15,29.507,28.316,39.37860489,35.497837,32.996212,3.291965127,4.525,9.609957039,2,5,2,2,3,56,22.96,22.4,21.28,19.6,1,4,1,1,35,10.5,9.8,11.2,10.5,1,5,2,3,55,6.05,11.55,7.7,11.55,3,3,2,5,65,11.7,7.15,10.4,9.1,C4
7,8,15,28.356,27.777,39.36257869,26.164635,36.54399,5.333333611,4.557,9.389024377,1,3,5,3,5,68,27.88,27.2,25.84,23.8,3,5,2,5,75,22.5,21,24,22.5,1,2,1,3,35,3.85,7.35,4.9,7.35,1,5,3,5,70,12.6,7.7,11.2,9.8,C3
7,5.5,12.5,49.344,-1,39.36217636,31.138077,23.84009,2.15616703,4.949,6.098657101,3,2,2,2,3,48,19.68,19.2,18.24,16.8,2,5,2,3,60,18,16.8,19.2,18,3,1,2,5,55,6.05,11.55,7.7,11.55,1,1,3,1,30,5.4,3.3,4.8,4.2,C3
7.5,6.5,14,49.664,-1,39.07922477,36.54399,34.693966,3.753327429,5.252,2.70179607,1,2,3,4,3,52,21.32,20.8,19.76,18.2,5,3,2,3,65,19.5,18.2,20.8,19.5,4,3,2,3,60,6.6,12.6,8.4,12.6,2,1,2,5,50,9,5.5,8,7,C2
6.5,6.5,13,49.695,-1,39.05181527,29.432209,46.5149,6.699200869,4.435,11.86098933,4,5,5,3,1,72,29.52,28.8,27.36,25.2,4,2,5,5,80,24,22.4,25.6,24,3,2,2,3,50,5.5,10.5,7,10.5,5,1,2,2,50,9,5.5,8,7,C3
8,6.5,14.5,52.268,-1,39,43.85982,41.816875,6.5,4.569,9.5,2,2,4,1,2,44,18.04,17.6,16.72,15.4,5,3,4,2,70,21,19.6,22.4,21,1,2,5,3,55,6.05,11.55,7.7,11.55,3,5,3,1,60,10.8,6.6,9.6,8.4,C3
6,5.5,11.5,52.373,-1,39,0,34.09491,4.5,5.225,1.5,4,1,1,2,5,52,21.32,20.8,19.76,18.2,2,2,4,2,50,15,14,16,15,5,1,5,3,70,7.7,14.7,9.8,14.7,3,4,5,5,85,15.3,9.35,13.6,11.9,C4
8,6.5,14.5,52.569,-1,39,36.860584,40.65517,6,4.73,7.5,3,5,1,4,1,56,22.96,22.4,21.28,19.6,1,1,4,3,45,13.5,12.6,14.4,13.5,1,5,4,2,60,6.6,12.6,8.4,12.6,1,3,1,1,30,5.4,3.3,4.8,4.2,C5
8,7,15,52.608,-1,39,45.00624,40.18384,7,4.667,8.5,5,1,5,1,3,60,24.6,24,22.8,21,5,1,1,1,40,12,11.2,12.8,12,4,1,3,4,60,6.6,12.6,8.4,12.6,2,1,3,3,45,8.1,4.95,7.2,6.3,C5
8,7,15,62.952,-1,39,28.806562,32.356743,7,5.224,7,5,2,3,1,4,60,24.6,24,22.8,21,5,1,1,2,45,13.5,12.6,14.4,13.5,5,2,3,4,70,7.7,14.7,9.8,14.7,2,4,5,1,60,10.8,6.6,9.6,8.4,C4
6.5,5.5,12,52.63,-1,39,31.29966,31.035479,3.5,5.494,1,4,5,3,1,3,64,26.24,25.6,24.32,22.4,3,4,5,4,80,24,22.4,25.6,24,3,1,2,4,50,5.5,10.5,7,10.5,3,4,1,1,45,8.1,4.95,7.2,6.3,C3
6.5,6.5,13,52.198,-1,39,-2,35.71083,4.5,4.942,5,5,5,1,4,2,68,27.88,27.2,25.84,23.8,1,5,2,3,55,16.5,15.4,17.6,16.5,3,1,3,2,45,4.95,9.45,6.3,9.45,2,2,3,3,50,9,5.5,8,7,C4
6,5.5,11.5,52.373,-1,39,0,34.09491,4.5,5.225,1.5,5,5,3,1,3,68,27.88,27.2,25.84,23.8,3,2,5,2,60,18,16.8,19.2,18,4,3,3,1,55,6.05,11.55,7.7,11.55,3,3,2,2,50,9,5.5,8,7,C3
8,7,15,62.066,-1,39,36.932545,36.53315,8,4.999,9.5,2,5,3,4,3,68,27.88,27.2,25.84,23.8,2,4,2,5,65,19.5,18.2,20.8,19.5,2,2,5,5,70,7.7,14.7,9.8,14.7,1,3,1,5,50,9,5.5,8,7,C2
8,7,15,62.171,-1,39,37.036644,34.061428,8,4.999,9.5,2,5,5,5,4,84,34.44,33.6,31.92,29.4,4,4,4,2,70,21,19.6,22.4,21,4,3,1,1,45,4.95,9.45,6.3,9.45,3,5,1,2,55,9.9,6.05,8.8,7.7,C3
7.5,7,14.5,49.824,-1,38.93774897,35.61297,37.48702,4.031941891,4.794,7.836322188,5,4,1,5,1,64,26.24,25.6,24.32,22.4,1,5,5,1,60,18,16.8,19.2,18,4,4,1,3,60,6.6,12.6,8.4,12.6,2,2,1,2,35,6.3,3.85,5.6,4.9,C2
7,8,15,27.915,28.27,38.9203012,32.891994,24.602924,4.141176939,4.382,11.57107115,4,2,1,4,1,48,19.68,19.2,18.24,16.8,4,5,5,2,80,24,22.4,25.6,24,3,1,4,1,45,4.95,9.45,6.3,9.45,4,5,5,4,90,16.2,9.9,14.4,12.6,C3
8,4,12,28.486,28.641,38.83408427,37.11903,40.52101,4.910875261,4.669,7.817425132,1,2,3,1,2,36,14.76,14.4,13.68,12.6,3,5,2,5,75,22.5,21,24,22.5,5,1,5,4,75,8.25,15.75,10.5,15.75,2,5,2,4,65,11.7,7.15,10.4,9.1,C5
8,7,15,49.954,-1,38.82280022,38.44207,36.54399,4.314108789,4.641,9.551573396,5,2,1,5,2,60,24.6,24,22.8,21,5,3,5,5,90,27,25.2,28.8,27,2,3,5,3,65,7.15,13.65,9.1,13.65,4,5,2,2,65,11.7,7.15,10.4,9.1,C1
8,7,15,62.424,-1,38.79040182,19.515354,28.597296,3.202759027,5.428,5.939143449,3,4,1,1,2,44,18.04,17.6,16.72,15.4,4,2,5,3,70,21,19.6,22.4,21,2,2,4,4,60,6.6,12.6,8.4,12.6,1,3,2,1,35,6.3,3.85,5.6,4.9,C2
5,5,10,28.42,26.17,38.73158097,39.76,38.86,2.410762608,3.95,10.58823645,4,1,4,5,3,68,27.88,27.2,25.84,23.8,1,5,5,2,65,19.5,18.2,20.8,19.5,1,2,3,4,50,5.5,10.5,7,10.5,1,2,4,3,50,9,5.5,8,7,C3
8,7,15,30.57,26.286,38.69585395,36.275826,39.958168,3.373194635,4.043,10.53475678,4,2,4,5,4,76,31.16,30.4,28.88,26.6,5,3,4,2,70,21,19.6,22.4,21,5,4,5,2,80,8.8,16.8,11.2,16.8,3,2,4,2,55,9.9,6.05,8.8,7.7,C2
7,7,14,26.467,26.303,38.60771924,42.022896,42.33511,4.114790857,4.123,9.465239346,4,3,1,1,3,48,19.68,19.2,18.24,16.8,3,3,4,5,75,22.5,21,24,22.5,3,1,1,3,40,4.4,8.4,5.6,8.4,1,1,5,2,45,8.1,4.95,7.2,6.3,C3
7.5,5.5,13,50.251,-1,38.56018513,32.891994,-2,2.674356401,5.125,4.125561565,5,5,5,2,5,88,36.08,35.2,33.44,30.8,1,2,5,1,45,13.5,12.6,14.4,13.5,4,5,2,4,75,8.25,15.75,10.5,15.75,3,1,5,2,55,9.9,6.05,8.8,7.7,C4
8,7,15,62.728,-1,38.54732662,26.164635,31.138077,4.36965555,4.866,12.2727254,1,5,5,4,4,76,31.16,30.4,28.88,26.6,2,2,3,2,45,13.5,12.6,14.4,13.5,1,2,3,5,55,6.05,11.55,7.7,11.55,1,4,2,4,55,9.9,6.05,8.8,7.7,C5
6,7,13,27.253,26.319,38.52476656,44.005566,42.770184,4.635966718,4.204,8.382352889,2,4,2,3,5,64,26.24,25.6,24.32,22.4,3,3,3,3,60,18,16.8,19.2,18,5,3,3,2,65,7.15,13.65,9.1,13.65,5,5,1,5,80,14.4,8.8,12.8,11.2,C1
3,4,7,30.763,26.192,38.50968182,26.963509,38.44207,2.729836404,4.204,8.851062655,3,5,2,2,3,60,24.6,24,22.8,21,3,4,1,3,55,16.5,15.4,17.6,16.5,5,2,4,3,70,7.7,14.7,9.8,14.7,4,3,4,3,70,12.6,7.7,11.2,9.8,C4
6,6.5,12.5,50.367,-1,38.45761478,43.397495,43.397495,5.778173208,4.466,11.51345372,1,2,1,2,2,32,13.12,12.8,12.16,11.2,4,1,1,3,45,13.5,12.6,14.4,13.5,3,4,1,4,60,6.6,12.6,8.4,12.6,2,4,2,3,55,9.9,6.05,8.8,7.7,C5
5,4,9,26.348,28.925,38.37442607,43.655636,44.6772,4.845513999,3.709,15,3,2,4,4,5,72,29.52,28.8,27.36,25.2,4,5,3,2,70,21,19.6,22.4,21,2,3,4,1,50,5.5,10.5,7,10.5,1,5,2,2,50,9,5.5,8,7,C3
6,6.5,12.5,50.499,-1,38.34089577,26.164635,29.432209,1.652173847,5.024,5.257846713,5,4,1,4,1,60,24.6,24,22.8,21,3,3,1,1,40,12,11.2,12.8,12,1,2,1,5,45,4.95,9.45,6.3,9.45,5,4,3,2,70,12.6,7.7,11.2,9.8,C4
7,4,11,26.784,26.368,38.27073455,47.195766,49.41799,6.324622631,3.98,11.37700617,5,2,3,3,2,60,24.6,24,22.8,21,3,1,5,3,60,18,16.8,19.2,18,5,3,1,3,60,6.6,12.6,8.4,12.6,4,3,4,4,75,13.5,8.25,12,10.5,C1
6.5,7,13.5,50.589,-1,38.26131731,33.786972,50.839634,7.976929545,4.339,12.93721944,1,5,3,1,1,44,18.04,17.6,16.72,15.4,5,3,5,5,90,27,25.2,28.8,27,1,5,1,5,60,6.6,12.6,8.4,12.6,5,2,5,5,85,15.3,9.35,13.6,11.9,C1
7,7,14,27.024,26.238,38.17511111,37.72,40.67,2.91048795,4.04,9.000002146,5,3,5,4,5,88,36.08,35.2,33.44,30.8,1,4,2,3,50,15,14,16,15,5,3,4,2,70,7.7,14.7,9.8,14.7,2,5,3,1,55,9.9,6.05,8.8,7.7,C4
5,4,9,37.895,31.835,38.11082393,26.37,29.25,3.255949318,4.47,14.69798952,3,5,3,1,4,64,26.24,25.6,24.32,22.4,3,2,2,1,40,12,11.2,12.8,12,4,1,1,1,35,3.85,7.35,4.9,7.35,5,1,3,3,60,10.8,6.6,9.6,8.4,C5
8,7,15,50.78,-1,38.09243202,32.01,43.4,5.778914094,5.093,4.484306574,4,1,5,4,2,64,26.24,25.6,24.32,22.4,1,3,2,3,45,13.5,12.6,14.4,13.5,3,4,4,4,75,8.25,15.75,10.5,15.75,2,1,4,4,55,9.9,6.05,8.8,7.7,C4
7,8,15,31.054,28.179,38.07944477,36.54399,49.740437,7.235295177,4.156,10.9108749,5,1,3,2,4,60,24.6,24,22.8,21,4,1,1,3,45,13.5,12.6,14.4,13.5,1,2,4,1,40,4.4,8.4,5.6,8.4,1,4,2,4,55,9.9,6.05,8.8,7.7,C5
5,4,9,27.908,26.406,38.07373166,43.738922,44.357044,4.745626748,3.931,12.03208655,2,1,3,3,5,56,22.96,22.4,21.28,19.6,5,2,4,1,60,18,16.8,19.2,18,3,3,4,5,75,8.25,15.75,10.5,15.75,2,1,3,3,45,8.1,4.95,7.2,6.3,C2
4,4.5,8.5,53.512,-1,38,42.00625,43.051735,6.5,4.439,11,1,2,1,4,5,52,21.32,20.8,19.76,18.2,4,3,1,5,65,19.5,18.2,20.8,19.5,4,2,4,4,70,7.7,14.7,9.8,14.7,1,1,2,5,45,8.1,4.95,7.2,6.3,C2
7.5,6,13.5,63.596,-1,38,33.457634,27.161062,7,5.312,5.5,2,1,4,5,2,56,22.96,22.4,21.28,19.6,3,3,5,3,70,21,19.6,22.4,21,4,2,3,1,50,5.5,10.5,7,10.5,3,4,1,2,50,9,5.5,8,7,C3
6.5,5,11.5,53.19,-1,38,38.27955,39.437347,5.5,4.615,9,3,5,3,1,3,60,24.6,24,22.8,21,4,2,3,3,60,18,16.8,19.2,18,1,2,1,3,35,3.85,7.35,4.9,7.35,4,5,4,3,80,14.4,8.8,12.8,11.2,C3
2.5,5,7.5,53.673,-1,38,44.31325,-2,7,5.187,2,3,3,4,2,5,68,27.88,27.2,25.84,23.8,2,5,1,1,45,13.5,12.6,14.4,13.5,4,2,3,2,55,6.05,11.55,7.7,11.55,4,2,2,5,65,11.7,7.15,10.4,9.1,C4
8,7,15,53.766,-1,38,45.170544,50.019897,8.5,4.409,11.5,2,5,5,4,1,68,27.88,27.2,25.84,23.8,2,2,3,5,60,18,16.8,19.2,18,4,3,5,4,80,8.8,16.8,11.2,16.8,3,3,5,1,60,10.8,6.6,9.6,8.4,C2
7,6.5,13.5,63.143,-1,38,-2,30.485897,6.5,5.654,1.5,4,4,4,3,2,68,27.88,27.2,25.84,23.8,3,5,3,4,75,22.5,21,24,22.5,4,4,5,1,70,7.7,14.7,9.8,14.7,2,5,3,3,65,11.7,7.15,10.4,9.1,C1
8,6,14,53.608,-1,38,33.018227,32.389,4,4.847,6,3,5,1,5,5,76,31.16,30.4,28.88,26.6,3,1,1,3,40,12,11.2,12.8,12,3,5,1,2,55,6.05,11.55,7.7,11.55,2,5,2,1,50,9,5.5,8,7,C4
7.5,6.5,14,53.718,-1,38,42.976208,42.670025,6.5,4.793,6.5,5,1,4,5,5,80,32.8,32,30.4,28,4,2,3,5,70,21,19.6,22.4,21,4,4,4,3,75,8.25,15.75,10.5,15.75,4,5,3,4,80,14.4,8.8,12.8,11.2,C1
8,7,15,63.207,-1,38,35.656067,37.415745,8,5.307,6,5,5,5,5,2,88,36.08,35.2,33.44,30.8,5,5,4,1,75,22.5,21,24,22.5,4,3,1,1,45,4.95,9.45,6.3,9.45,3,1,2,2,40,7.2,4.4,6.4,5.6,C3
8,7,15,50.896,-1,37.98985898,32.891994,37.48702,4.031941891,4.796,7.813902497,4,4,1,3,5,68,27.88,27.2,25.84,23.8,3,3,5,3,70,21,19.6,22.4,21,2,5,2,3,60,6.6,12.6,8.4,12.6,5,2,4,5,80,14.4,8.8,12.8,11.2,C1
5,4,9,32.837997,28.761,37.95323879,36.120487,33.904076,3.492637873,4.778,6.460581869,2,5,4,3,4,72,29.52,28.8,27.36,25.2,5,4,5,1,75,22.5,21,24,22.5,3,5,3,3,70,7.7,14.7,9.8,14.7,5,5,1,1,60,10.8,6.6,9.6,8.4,C2
6.5,7,13.5,50.94,-1,37.95095623,31.138077,29.432209,2.15616703,4.514,10.97533911,1,5,1,5,2,56,22.96,22.4,21.28,19.6,3,3,4,2,60,18,16.8,19.2,18,4,2,1,4,55,6.05,11.55,7.7,11.55,4,2,4,2,60,10.8,6.6,9.6,8.4,C3
7,2,9,26.431,26.71,37.94412464,29.351295,32.52613,1.054428071,4.14,9.237969518,4,4,3,5,1,68,27.88,27.2,25.84,23.8,1,2,3,4,50,15,14,16,15,5,3,2,3,65,7.15,13.65,9.1,13.65,2,2,5,1,50,9,5.5,8,7,C4
7,6,13,50.958,-1,37.93503731,36.54399,29.432209,3.753327429,4.707,8.811662793,4,3,1,2,2,48,19.68,19.2,18.24,16.8,3,2,3,3,55,16.5,15.4,17.6,16.5,1,5,1,5,60,6.6,12.6,8.4,12.6,3,2,5,1,55,9.9,6.05,8.8,7.7,C4
8,7,15,28.774,34.043,37.91159749,34.346855,35.474754,3.284525573,4.316,12.21161842,5,3,3,1,2,56,22.96,22.4,21.28,19.6,4,2,2,4,60,18,16.8,19.2,18,1,5,5,4,75,8.25,15.75,10.5,15.75,3,5,3,1,60,10.8,6.6,9.6,8.4,C2
8,7,15,29.384,28.787,37.8699562,41.716846,42.467762,5.538290143,4.3,12.41078585,5,1,4,3,2,60,24.6,24,22.8,21,4,1,2,2,45,13.5,12.6,14.4,13.5,5,4,5,4,90,9.9,18.9,12.6,18.9,1,3,3,5,60,10.8,6.6,9.6,8.4,C5
7,4,11,26.401,25.403,37.81879038,37.48702,47.578068,6.368553042,3.803,14.56845134,5,5,4,4,5,92,37.72,36.8,34.96,32.2,1,2,5,2,50,15,14,16,15,5,2,4,4,75,8.25,15.75,10.5,15.75,5,3,1,5,70,12.6,7.7,11.2,9.8,C4
